住宅價格季指數類別,期別,季指數,季指數變動率,標準住宅總價,標準住宅單價
大同區,109Q3,105.75,2.59%,1556,53.64
大同區,109Q4,105.88,0.12%,1558,53.71
大同區,110Q1,106.51,0.60%,1567,54.03
大同區,110Q2,107.61,1.03%,1583,54.59
大同區,110Q3,109.16,1.44%,1606,55.38
大同區,110Q4,109.9,0.68%,1617,55.75
萬華區,101Q3,91.97,-,1190,41.02
萬華區,101Q4,91.6,-0.40%,1185,40.85
萬華區,102Q1,93.39,1.95%,1208,41.65
萬華區,102Q2,94.32,1%,1220,42.06
萬華區,102Q3,96.52,2.33%,1248,43.05
萬華區,102Q4,96.88,0.37%,1253,43.21
萬華區,103Q1,98.77,1.95%,1277,44.05
萬華區,103Q2,101.47,2.73%,1312,45.25
萬華區,103Q3,102.1,0.62%,1321,45.54
萬華區,103Q4,103.97,1.83%,1345,46.37
萬華區,104Q1,108.22,4.09%,1400,48.26
萬華區,104Q2,107.17,-0.97%,1386,47.8
萬華區,104Q3,106.98,-0.18%,1384,47.71
萬華區,104Q4,105.71,-1.19%,1367,47.14
萬華區,105Q1,103.65,-1.95%,1341,46.22
萬華區,105Q2,104.89,1.20%,1357,46.78
萬華區,105Q3,103.77,-1.07%,1342,46.28
萬華區,105Q4,103.69,-0.08%,1341,46.25
萬華區,106Q1,104.33,0.62%,1349,46.53
萬華區,106Q2,103.46,-0.83%,1338,46.14
萬華區,106Q3,101.27,-2.12%,1310,45.16
萬華區,106Q4,98.62,-2.62%,1275,43.98
萬華區,107Q1,97.45,-1.19%,1260,43.46
萬華區,107Q2,99.21,1.81%,1283,44.24
萬華區,107Q3,98.39,-0.83%,1272,43.88
萬華區,107Q4,100.6,2.25%,1301,44.87
萬華區,108Q1,100.32,-0.28%,1297,44.74
萬華區,108Q2,100.67,0.35%,1302,44.9
萬華區,108Q3,99.76,-0.90%,1290,44.49
萬華區,108Q4,100.25,0.49%,1297,44.71
萬華區,109Q1,100.94,0.69%,1306,45.02
萬華區,109Q2,102.43,1.48%,1325,45.68
萬華區,109Q3,102.71,0.27%,1328,45.81
萬華區,109Q4,104.16,1.41%,1347,46.45
萬華區,110Q1,104.77,0.59%,1355,46.73
萬華區,110Q2,105.16,0.37%,1360,46.9
萬華區,110Q3,106.25,1.04%,1374,47.38
萬華區,110Q4,108,1.65%,1396,48.13
文山區,101Q3,93.84,-,1429,42.02
文山區,101Q4,93.49,-0.37%,1423,41.87
文山區,102Q1,91.92,-1.68%,1400,41.16
文山區,102Q2,95.51,3.91%,1454,42.77
文山區,102Q3,99.1,3.76%,1509,44.38
文山區,102Q4,100.13,1.04%,1525,44.84
文山區,103Q1,100.92,0.79%,1537,45.19
文山區,103Q2,101.93,1%,1552,45.64
文山區,103Q3,103.57,1.61%,1577,46.38
文山區,103Q4,105.56,1.92%,1607,47.27
文山區,104Q1,103.63,-1.83%,1578,46.41
文山區,104Q2,104.71,1.04%,1594,46.89
文山區,104Q3,103.5,-1.16%,1576,46.35
文山區,104Q4,102.54,-0.93%,1561,45.92
文山區,105Q1,100.56,-1.93%,1531,45.03
文山區,105Q2,100.9,0.34%,1536,45.19
文山區,105Q3,99.4,-1.49%,1513,44.51
文山區,105Q4,99.46,0.06%,1514,44.54
文山區,106Q1,99.38,-0.08%,1513,44.51
文山區,106Q2,101.84,2.48%,1551,45.61
文山區,106Q3,102.59,0.74%,1562,45.94
文山區,106Q4,100.47,-2.07%,1530,44.99
文山區,107Q1,101.64,1.16%,1548,45.52
文山區,107Q2,99.75,-1.86%,1519,44.67
文山區,107Q3,99,-0.75%,1507,44.34
文山區,107Q4,99.51,0.52%,1515,44.56
文山區,108Q1,101.84,2.34%,1551,45.61
文山區,108Q2,102.81,0.95%,1565,46.04
文山區,108Q3,101.87,-0.91%,1551,45.62
文山區,108Q4,101.9,0.03%,1552,45.63
文山區,109Q1,103.39,1.46%,1574,46.3
文山區,109Q2,104.95,1.51%,1598,47
文山區,109Q3,105.25,0.29%,1603,47.13
文山區,109Q4,105.67,0.40%,1609,47.32
文山區,110Q1,106.83,1.10%,1627,47.84
文山區,110Q2,107.84,0.95%,1642,48.29
文山區,110Q3,108.56,0.67%,1653,48.62
文山區,110Q4,110.47,1.76%,1682,49.47
北投區,101Q3,98.92,-,1322,42.63
北投區,101Q4,100.68,1.78%,1345,43.39
北投區,102Q1,99.85,-0.82%,1334,43.03
北投區,102Q2,102.03,2.18%,1363,43.97
北投區,102Q3,100.55,-1.45%,1343,43.34
北投區,102Q4,103.43,2.86%,1382,44.57
北投區,103Q1,102.5,-0.90%,1369,44.17
北投區,103Q2,102.11,-0.38%,1364,44.01
北投區,103Q3,103.34,1.20%,1381,44.54
北投區,103Q4,102.64,-0.68%,1371,44.24
北投區,104Q1,103.02,0.37%,1376,44.4
北投區,104Q2,105.65,2.55%,1412,45.53
北投區,104Q3,103.22,-2.30%,1379,44.48
北投區,104Q4,100.38,-2.75%,1341,43.26
北投區,105Q1,99.64,-0.74%,1331,42.94
北投區,105Q2,101.31,1.68%,1354,43.66
北投區,105Q3,101,-0.31%,1349,43.53
北投區,105Q4,100.71,-0.29%,1345,43.4
北投區,106Q1,102.15,1.43%,1365,44.02
北投區,106Q2,101.45,-0.69%,1355,43.72
北投區,106Q3,102.34,0.88%,1367,44.1
北投區,106Q4,99.89,-2.39%,1334,43.05
北投區,107Q1,99.16,-0.73%,1325,42.74
北投區,107Q2,98.95,-0.21%,1322,42.64
北投區,107Q3,99.04,0.09%,1323,42.68
北投區,107Q4,98.5,-0.55%,1316,42.45
北投區,108Q1,99.1,0.61%,1324,42.71
北投區,108Q2,98.52,-0.59%,1316,42.46
北投區,108Q3,96.65,-1.90%,1291,41.65
北投區,108Q4,98.12,1.52%,1311,42.29
北投區,109Q1,98.8,0.69%,1320,42.58
北投區,109Q2,99.35,0.56%,1327,42.82
北投區,109Q3,99.83,0.48%,1334,43.02
北投區,109Q4,100.48,0.65%,1342,43.3
北投區,110Q1,100.88,0.40%,1348,43.48
北投區,110Q2,102.22,1.33%,1366,44.05
北投區,110Q3,103.18,0.94%,1378,44.47
北投區,110Q4,104.96,1.73%,1402,45.23
